Verb – PA'AL<br>AP-ms<br>to write	Verb – PA'AL<br>כּוֹתֵב<br>kot<b>e</b>v
Verb – PI'EL<br>IMPF-3ms<br>to speak, to talk	Verb – PI'EL<br>יְדַבֵּר<br>yedab<b>e</b>r
Verb – PI'EL<br>IMPF-3fs<br>to speak, to talk	Verb – PI'EL<br>תְּדַבֵּר<br>tedab<b>e</b>r
Verb – PI'EL<br>IMPF-3mp<br>to speak, to talk	Verb – PI'EL<br>יְדַבְּרוּ<br>yedabr<b>u</b>
Verb – PI'EL<br>IMPF-3fp<br>to speak, to talk	Verb – PI'EL<br>תְּדַבֵּרְנָה<br>tedab<b>e</b>rna
Verb – PI'EL<br>IMP-2ms<br>to speak, to talk	Verb – PI'EL<br>דַּבֵּר!‏<br>dab<b>e</b>r!
Verb – PI'EL<br>IMP-2fs<br>to speak, to talk	Verb – PI'EL<br>דַּבְּרִי!‏<br>dabr<b>i</b>!
Verb – PI'EL<br>IMP-2mp<br>to speak, to talk	Verb – PI'EL<br>דַּבְּרוּ!‏<br>dabr<b>u</b>!
Verb – PI'EL<br>IMP-2fp<br>to speak, to talk	Verb – PI'EL<br>דַּבֵּרְנָה!‏<br>dab<b>e</b>rna!
Verb – PI'EL<br>INF-L<br>to speak, to talk	Verb – PI'EL<br>לְדַבֵּר<br>ledab<b>e</b>r
Verb – PI'EL<br>passive-AP-ms<br>to speak, to talk	Verb – PI'EL<br>מְדֻבָּר ~ מדובר<br>medub<b>a</b>r
Verb – PI'EL<br>passive-AP-fs<br>to speak, to talk	Verb – PI'EL<br>מְדֻבֶּרֶת ~ מדוברת<br>medub<b>e</b>ret
Verb – PI'EL<br>passive-AP-mp<br>to speak, to talk	Verb – PI'EL<br>מְדֻבָּרִים ~ מדוברים<br>medubar<b>i</b>m
Verb – PI'EL<br>passive-AP-fp<br>to speak, to talk	Verb – PI'EL<br>מְדֻבָּרוֹת ~ מדוברות<br>medubar<b>o</b>t
Verb – PI'EL<br>passive-PERF-1s<br>to speak, to talk	Verb – PI'EL<br>דֻּבַּרְתִּי ~ דוברתי<br>dub<b>a</b>rti
Verb – PI'EL<br>passive-PERF-1p<br>to speak, to talk	Verb – PI'EL<br>דֻּבַּרְנוּ ~ דוברנו<br>dub<b>a</b>rnu
Verb – PI'EL<br>passive-PERF-2ms<br>to speak, to talk	Verb – PI'EL<br>דֻּבַּרְתָּ ~ דוברת<br>dub<b>a</b>rta
Verb – PI'EL<br>passive-PERF-2fs<br>to speak, to talk	Verb – PI'EL<br>דֻּבַּרְתְּ ~ דוברת<br>dub<b>a</b>rt
Verb – PI'EL<br>passive-PERF-2mp<br>to speak, to talk	Verb – PI'EL<br>דֻּבַּרְתֶּם ~ דוברתם<br>dubart<b>e</b>m
Verb – PI'EL<br>passive-PERF-2fp<br>to speak, to talk	Verb – PI'EL<br>דֻּבַּרְתֶּן ~ דוברתן<br>dubart<b>e</b>n
Verb – PI'EL<br>passive-PERF-3ms<br>to speak, to talk	Verb – PI'EL<br>דֻּבַּר ~ דובר<br>dub<b>a</b>r
Verb – PI'EL<br>passive-PERF-3fs<br>to speak, to talk	Verb – PI'EL<br>דֻּבְּרָה ~ דוברה<br>dubr<b>a</b>
Verb – PI'EL<br>passive-PERF-3p<br>to speak, to talk	Verb – PI'EL<br>דֻּבְּרוּ ~ דוברו<br>dubr<b>u</b>
Verb – PI'EL<br>passive-IMPF-1s<br>to speak, to talk	Verb – PI'EL<br>אֲדֻבַּר ~ אדובר<br>adub<b>a</b>r
Verb – PI'EL<br>passive-IMPF-1p<br>to speak, to talk	Verb – PI'EL<br>נְדֻבַּר ~ נדובר<br>nedub<b>a</b>r
Verb – PI'EL<br>passive-IMPF-2ms<br>to speak, to talk	Verb – PI'EL<br>תְּדֻבַּר ~ תדובר<br>tedub<b>a</b>r
Verb – PI'EL<br>passive-IMPF-2fs<br>to speak, to talk	Verb – PI'EL<br>תְּדֻבְּרִי ~ תדוברי<br>tedubr<b>i</b>
Verb – PI'EL<br>passive-IMPF-2mp<br>to speak, to talk	Verb – PI'EL<br>תְּדֻבְּרוּ ~ תדוברו<br>tedubr<b>u</b>
Verb – PI'EL<br>passive-IMPF-2fp<br>to speak, to talk	Verb – PI'EL<br>תְּדֻבַּרְנָה ~ תדוברנה<br>tedub<b>a</b>rna
Verb – PI'EL<br>passive-IMPF-3ms<br>to speak, to talk	Verb – PI'EL<br>יְדֻבַּר ~ ידובר<br>yedub<b>a</b>r
Verb – PI'EL<br>passive-IMPF-3fs<br>to speak, to talk	Verb – PI'EL<br>תְּדֻבַּר ~ תדובר<br>tedub<b>a</b>r
Verb – PI'EL<br>passive-IMPF-3mp<br>to speak, to talk	Verb – PI'EL<br>יְדֻבְּרוּ ~ ידוברו<br>yedubr<b>u</b>
Verb – PI'EL<br>passive-IMPF-3fp<br>to speak, to talk	Verb – PI'EL<br>תְּדֻבַּרְנָה ~ תדוברנה<br>tedub<b>a</b>rna
Verb – PA'AL<br>AP-ms<br>to do, to make, to create	Verb – PA'AL<br>עוֹשֶׂה<br>os<b>e</b>
Verb – PA'AL<br>AP-fs<br>to do, to make, to create	Verb – PA'AL<br>עוֹשָׂה<br>os<b>a</b>
Verb – PA'AL<br>AP-mp<br>to do, to make, to create	Verb – PA'AL<br>עוֹשִׂים<br>os<b>i</b>m
Verb – PA'AL<br>AP-fp<br>to do, to make, to create	Verb – PA'AL<br>עוֹשׂוֹת<br>os<b>o</b>t
Verb – PA'AL<br>PERF-1s<br>to do, to make, to create	Verb – PA'AL<br>עָשִׂיתִי<br>as<b>i</b>ti
Verb – PA'AL<br>PERF-1p<br>to do, to make, to create	Verb – PA'AL<br>עָשִׂינוּ<br>as<b>i</b>nu
Verb – PA'AL<br>PERF-2ms<br>to do, to make, to create	Verb – PA'AL<br>עָשִׂיתָ<br>as<b>i</b>ta
Verb – PA'AL<br>PERF-2fs<br>to do, to make, to create	Verb – PA'AL<br>עָשִׂית<br>as<b>i</b>t
